Year,State,PlotCategory,Basin,SumOfDepletion_kafy
1976,New Mexico,Agricultural,Upper Basin,169.6093497
1976,New Mexico,Energy,Upper Basin,28.10119976
1976,New Mexico,Fish and Wildlife and Recreation,Upper Basin,5.125706724
1976,New Mexico,Minerals,Upper Basin,3.1
1976,New Mexico,Municipal and Industrial,Upper Basin,54.47181282
1976,New Mexico,Reservoir Evaporation,Upper Basin,108.9051992
1976,Utah,Agricultural,Upper Basin,584.401
1976,Utah,Energy,Upper Basin,5.054
1976,Utah,Minerals,Upper Basin,10
1976,Utah,Municipal and Industrial,Upper Basin,24.824
1976,Utah,Reservoir Evaporation,Upper Basin,189.4607966
1976,Wyoming,Agricultural,Upper Basin,249.366
1976,Wyoming,Energy,Upper Basin,20.388
1976,Wyoming,Minerals,Upper Basin,15.5
1976,Wyoming,Municipal and Industrial,Upper Basin,10.744
1976,Wyoming,Reservoir Evaporation,Upper Basin,119.611746
1977,Arizona,Agricultural,Lower Basin,1166.538
1977,Arizona,Agricultural,Upper Basin,3.81
1977,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,0
1977,Arizona,CAP M&I Recharge,Lower Basin,0
1977,Arizona,CAP Tribes,Lower Basin,0
1977,Arizona,Energy,Lower Basin,1.01
1977,Arizona,Energy,Upper Basin,21.761
1977,Arizona,Export,Upper Basin,0
1977,Arizona,Fish and Wildlife and Recreation,Lower Basin,43.647
1977,Arizona,Minerals,Lower Basin,0
1977,Arizona,Minerals,Upper Basin,0
1977,Arizona,Municipal and Industrial,Lower Basin,20.079
1977,Arizona,Municipal and Industrial,Upper Basin,3.1
1977,Arizona,Reservoir Evaporation,Upper Basin,5.2
1977,California,Agricultural,Lower Basin,3789.6274
1977,California,Fish and Wildlife and Recreation,Lower Basin,0.015
1977,California,Municipal and Industrial,Lower Basin,1307.7006
1977,Colorado,Agricultural,Upper Basin,1298.603455
1977,Colorado,Energy,Upper Basin,7.639
1977,Colorado,Minerals,Upper Basin,19
1977,Colorado,Municipal and Industrial,Upper Basin,293.0890554
1977,Colorado,Reservoir Evaporation,Upper Basin,341.3805954
1977,Mexico,Unassigned,Lower Basin,1500
1977,Misc,,Lower Basin,206.822
1977,Misc,Fish and Wildlife and Recreation,Lower Basin,363.2516043
1977,Misc,Reservoir Evaporation,Lower Basin,1208.312594
1977,Misc,Unassigned,Lower Basin,72.082
1977,Nevada,Agricultural,Lower Basin,0.065
1977,Nevada,Energy,Lower Basin,14.327
1977,Nevada,Fish and Wildlife and Recreation,Lower Basin,0.897
1977,Nevada,Municipal and Industrial,Lower Basin,57.885
1977,New Mexico,Agricultural,Upper Basin,143.3123043
1977,New Mexico,Energy,Upper Basin,29.60151276
1977,New Mexico,Fish and Wildlife and Recreation,Upper Basin,1.039057059
1977,New Mexico,Minerals,Upper Basin,3.3
1977,New Mexico,Municipal and Industrial,Upper Basin,17.39514739
1977,New Mexico,Reservoir Evaporation,Upper Basin,89.24458696
1977,Utah,Agricultural,Upper Basin,328.67
1977,Utah,Energy,Upper Basin,7.303
1977,Utah,Minerals,Upper Basin,10.2
1977,Utah,Municipal and Industrial,Upper Basin,22.057
1977,Utah,Reservoir Evaporation,Upper Basin,171.0437135
1977,Wyoming,Agricultural,Upper Basin,151.067
1977,Wyoming,Energy,Upper Basin,28.52
1977,Wyoming,Minerals,Upper Basin,16.4
1977,Wyoming,Municipal and Industrial,Upper Basin,7.687
1977,Wyoming,Reservoir Evaporation,Upper Basin,106.0760844
1978,Arizona,Agricultural,Lower Basin,1168.728
1978,Arizona,Agricultural,Upper Basin,4.3
1978,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,0
1978,Arizona,CAP M&I Recharge,Lower Basin,0
1978,Arizona,CAP Tribes,Lower Basin,0
1978,Arizona,Energy,Lower Basin,1.183
1978,Arizona,Energy,Upper Basin,19.365
1978,Arizona,Export,Upper Basin,0
1978,Arizona,Fish and Wildlife and Recreation,Lower Basin,43.978
1978,Arizona,Minerals,Lower Basin,0
1978,Arizona,Minerals,Upper Basin,0
1978,Arizona,Municipal and Industrial,Lower Basin,21.053
1978,Arizona,Municipal and Industrial,Upper Basin,3.8
1978,Arizona,Reservoir Evaporation,Upper Basin,5.41
1978,California,Agricultural,Lower Basin,3761.1056
1978,California,Fish and Wildlife and Recreation,Lower Basin,0.015
1978,California,Municipal and Industrial,Lower Basin,742.2194
1978,Colorado,Agricultural,Upper Basin,1582.313836
1978,Colorado,Energy,Upper Basin,8.747
1978,Colorado,Minerals,Upper Basin,19.1
1978,Colorado,Municipal and Industrial,Upper Basin,367.6078942
1978,Colorado,Reservoir Evaporation,Upper Basin,345.195978
1978,Mexico,Unassigned,Lower Basin,1500
1978,Misc,,Lower Basin,182.036
1978,Misc,Fish and Wildlife and Recreation,Lower Basin,376.4221974
1978,Misc,Reservoir Evaporation,Lower Basin,1229.526797
1978,Misc,Unassigned,Lower Basin,44.997
1978,Nevada,Agricultural,Lower Basin,0.066
1978,Nevada,Energy,Lower Basin,9.053
1978,Nevada,Fish and Wildlife and Recreation,Lower Basin,0.896
1978,Nevada,Municipal and Industrial,Lower Basin,61.278
1978,New Mexico,Agricultural,Upper Basin,188.1380311
1978,New Mexico,Energy,Upper Basin,27.5375476
1978,New Mexico,Fish and Wildlife and Recreation,Upper Basin,5.520298919
1978,New Mexico,Minerals,Upper Basin,3.4
1978,New Mexico,Municipal and Industrial,Upper Basin,71.04219175
1978,New Mexico,Reservoir Evaporation,Upper Basin,96.95077435
1978,Utah,Agricultural,Upper Basin,607.159
1978,Utah,Energy,Upper Basin,13.155
1978,Utah,Minerals,Upper Basin,10.2
1978,Utah,Municipal and Industrial,Upper Basin,24.993
1978,Utah,Reservoir Evaporation,Upper Basin,173.6332435
1978,Wyoming,Agricultural,Upper Basin,274.636
1978,Wyoming,Energy,Upper Basin,24.97
1978,Wyoming,Minerals,Upper Basin,17.2
1978,Wyoming,Municipal and Industrial,Upper Basin,10.583
1978,Wyoming,Reservoir Evaporation,Upper Basin,106.7237587
1979,Arizona,Agricultural,Lower Basin,1081.093
1979,Arizona,Agricultural,Upper Basin,5.32
1979,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,0
1979,Arizona,CAP M&I Recharge,Lower Basin,0
1979,Arizona,CAP Tribes,Lower Basin,0
1979,Arizona,Energy,Lower Basin,1.079
1979,Arizona,Energy,Upper Basin,20.413
1979,Arizona,Export,Upper Basin,0
1979,Arizona,Fish and Wildlife and Recreation,Lower Basin,48.855
1979,Arizona,Minerals,Lower Basin,0
1979,Arizona,Minerals,Upper Basin,0
1979,Arizona,Municipal and Industrial,Lower Basin,19.826
1979,Arizona,Municipal and Industrial,Upper Basin,3.6
1979,Arizona,Reservoir Evaporation,Upper Basin,4.58
1979,California,Agricultural,Lower Basin,3951.063
1979,California,Fish and Wildlife and Recreation,Lower Basin,0.015
1979,California,Municipal and Industrial,Lower Basin,837.345
1979,Colorado,Agricultural,Upper Basin,1520.487157
1979,Colorado,Energy,Upper Basin,7.326
1979,Colorado,Minerals,Upper Basin,19.4
1979,Colorado,Municipal and Industrial,Upper Basin,259.3384881
1979,Colorado,Reservoir Evaporation,Upper Basin,395.0792353
1979,Mexico,Unassigned,Lower Basin,1700
1979,Misc,,Lower Basin,177.99
1979,Misc,Fish and Wildlife and Recreation,Lower Basin,395.1690702
1979,Misc,Reservoir Evaporation,Lower Basin,1269.530953
1979,Misc,Unassigned,Lower Basin,74.34803846
1979,Nevada,Agricultural,Lower Basin,0.066
1979,Nevada,Energy,Lower Basin,11.934
1979,Nevada,Fish and Wildlife and Recreation,Lower Basin,0.958
1979,Nevada,Municipal and Industrial,Lower Basin,47.116
1979,New Mexico,Agricultural,Upper Basin,225.0474114
1979,New Mexico,Energy,Upper Basin,33.35181882
1979,New Mexico,Fish and Wildlife and Recreation,Upper Basin,8.698908204
1979,New Mexico,Minerals,Upper Basin,3.6
1979,New Mexico,Municipal and Industrial,Upper Basin,109.0304273
1979,New Mexico,Reservoir Evaporation,Upper Basin,116.8770172
1979,Utah,Agricultural,Upper Basin,653.683
1979,Utah,Energy,Upper Basin,16.769
1979,Utah,Minerals,Upper Basin,10.3
1979,Utah,Municipal and Industrial,Upper Basin,23.839
1979,Utah,Reservoir Evaporation,Upper Basin,195.6709623
1979,Wyoming,Agricultural,Upper Basin,271.195
1979,Wyoming,Energy,Upper Basin,27.234
1979,Wyoming,Minerals,Upper Basin,18.1
1979,Wyoming,Municipal and Industrial,Upper Basin,12.131
1979,Wyoming,Reservoir Evaporation,Upper Basin,121.6475673
1980,Arizona,Agricultural,Lower Basin,1141.155
1980,Arizona,Agricultural,Upper Basin,6.29
1980,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,0
1980,Arizona,CAP M&I Recharge,Lower Basin,0
1980,Arizona,CAP Tribes,Lower Basin,0
1980,Arizona,Energy,Lower Basin,1.094
1980,Arizona,Energy,Upper Basin,22.322
1980,Arizona,Export,Upper Basin,0
1980,Arizona,Fish and Wildlife and Recreation,Lower Basin,58.155
1980,Arizona,Minerals,Lower Basin,0
1980,Arizona,Minerals,Upper Basin,0
1980,Arizona,Municipal and Industrial,Lower Basin,21.159
1980,Arizona,Municipal and Industrial,Upper Basin,3.6
1980,Arizona,Reservoir Evaporation,Upper Basin,4.66
1980,California,Agricultural,Lower Basin,3885.9182
1980,California,Fish and Wildlife and Recreation,Lower Basin,0.015
1980,California,Municipal and Industrial,Lower Basin,847.0738
1980,Colorado,Agricultural,Upper Basin,1506.489253
1980,Colorado,Energy,Upper Basin,9.8093
1980,Colorado,Minerals,Upper Basin,19.5
1980,Colorado,Municipal and Industrial,Upper Basin,239.1075574
1980,Colorado,Reservoir Evaporation,Upper Basin,448.9856183
1980,Mexico,Unassigned,Lower Basin,1700
1980,Misc,,Lower Basin,154.63
1980,Misc,Fish and Wildlife and Recreation,Lower Basin,414.8190347
1980,Misc,Reservoir Evaporation,Lower Basin,1296.009906
1980,Misc,Unassigned,Lower Basin,74.34803846
1980,Nevada,Agricultural,Lower Basin,0.064
1980,Nevada,Energy,Lower Basin,10.163
1980,Nevada,Fish and Wildlife and Recreation,Lower Basin,1.083
1980,Nevada,Municipal and Industrial,Lower Basin,81.116
1980,New Mexico,Agricultural,Upper Basin,244.2616949
1980,New Mexico,Energy,Upper Basin,34.6212839
1980,New Mexico,Fish and Wildlife and Recreation,Upper Basin,7.611193555
1980,New Mexico,Minerals,Upper Basin,3.7
1980,New Mexico,Municipal and Industrial,Upper Basin,96.31620182
1980,New Mexico,Reservoir Evaporation,Upper Basin,124.9262394
1980,Utah,Agricultural,Upper Basin,614.025
1980,Utah,Energy,Upper Basin,17.77
1980,Utah,Minerals,Upper Basin,10.3
1980,Utah,Municipal and Industrial,Upper Basin,22.228
1980,Utah,Reservoir Evaporation,Upper Basin,213.7037993
1980,Wyoming,Agricultural,Upper Basin,264.297
1980,Wyoming,Energy,Upper Basin,31.46
1980,Wyoming,Minerals,Upper Basin,19
1980,Wyoming,Municipal and Industrial,Upper Basin,11.97
1980,Wyoming,Reservoir Evaporation,Upper Basin,132.0468241
1981,Arizona,Agricultural,Lower Basin,1338.191
1981,Arizona,Agricultural,Upper Basin,6.975
1981,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,0
1981,Arizona,CAP M&I Recharge,Lower Basin,0
1981,Arizona,CAP Tribes,Lower Basin,0
1981,Arizona,Energy,Lower Basin,1.022
1981,Arizona,Energy,Upper Basin,21.14
1981,Arizona,Export,Upper Basin,0
1981,Arizona,Fish and Wildlife and Recreation,Lower Basin,54.185
1981,Arizona,Minerals,Lower Basin,0
1981,Arizona,Minerals,Upper Basin,0
1981,Arizona,Municipal and Industrial,Lower Basin,22.452
1981,Arizona,Municipal and Industrial,Upper Basin,6.58
1981,Arizona,Reservoir Evaporation,Upper Basin,6.698
1981,California,Agricultural,Lower Basin,3939.673
1981,California,Fish and Wildlife and Recreation,Lower Basin,0.015
1981,California,Municipal and Industrial,Lower Basin,856.261
1981,Colorado,Agricultural,Upper Basin,1672.504771
1981,Colorado,Energy,Upper Basin,14.408
1981,Colorado,Minerals,Upper Basin,15.88
1981,Colorado,Municipal and Industrial,Upper Basin,325.0281496
1981,Colorado,Reservoir Evaporation,Upper Basin,441.0955636
1981,Mexico,Unassigned,Lower Basin,1700
1981,Misc,,Lower Basin,148.426
1981,Misc,Fish and Wildlife and Recreation,Lower Basin,447.9450458
1981,Misc,Reservoir Evaporation,Lower Basin,1270.367031
1981,Misc,Unassigned,Lower Basin,74.34803846
1981,Nevada,Agricultural,Lower Basin,0.066
1981,Nevada,Energy,Lower Basin,13.983
1981,Nevada,Fish and Wildlife and Recreation,Lower Basin,1.185
1981,Nevada,Municipal and Industrial,Lower Basin,94.783
1981,New Mexico,Agricultural,Upper Basin,166.2717095
1981,New Mexico,Energy,Upper Basin,31.51491434
1981,New Mexico,Fish and Wildlife and Recreation,Upper Basin,2.844521849
1981,New Mexico,Minerals,Upper Basin,4.2
1981,New Mexico,Municipal and Industrial,Upper Basin,43.52617036
1981,New Mexico,Reservoir Evaporation,Upper Basin,110.625921
1981,Utah,Agricultural,Upper Basin,543.646515
1981,Utah,Energy,Upper Basin,20.12
1981,Utah,Minerals,Upper Basin,9.99
1981,Utah,Municipal and Industrial,Upper Basin,25.919
1981,Utah,Reservoir Evaporation,Upper Basin,221.9461283
1981,Wyoming,Agricultural,Upper Basin,240.789534
1981,Wyoming,Energy,Upper Basin,28.02
1981,Wyoming,Minerals,Upper Basin,16.44
1981,Wyoming,Municipal and Industrial,Upper Basin,11.111
1981,Wyoming,Reservoir Evaporation,Upper Basin,143.4561437
1982,Arizona,Agricultural,Lower Basin,1171.463
1982,Arizona,Agricultural,Upper Basin,8.064
1982,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,0
1982,Arizona,CAP M&I Recharge,Lower Basin,0
1982,Arizona,CAP Tribes,Lower Basin,0
1982,Arizona,Energy,Lower Basin,0.8
1982,Arizona,Energy,Upper Basin,19.36
1982,Arizona,Export,Upper Basin,0
1982,Arizona,Fish and Wildlife and Recreation,Lower Basin,47.796
1982,Arizona,Minerals,Lower Basin,0
1982,Arizona,Minerals,Upper Basin,0
1982,Arizona,Municipal and Industrial,Lower Basin,20.325
1982,Arizona,Municipal and Industrial,Upper Basin,6.61
1982,Arizona,Reservoir Evaporation,Upper Basin,5.3
1982,California,Agricultural,Lower Basin,3557.077
1982,California,Fish and Wildlife and Recreation,Lower Basin,0.015
1982,California,Municipal and Industrial,Lower Basin,742.707
1982,Colorado,Agricultural,Upper Basin,1625.957813
1982,Colorado,Energy,Upper Basin,12.2433
1982,Colorado,Minerals,Upper Basin,12.26
1982,Colorado,Municipal and Industrial,Upper Basin,318.1362266
1982,Colorado,Reservoir Evaporation,Upper Basin,450.3273166
1982,Mexico,Unassigned,Lower Basin,1500
1982,Misc,,Lower Basin,149.698
1982,Misc,Fish and Wildlife and Recreation,Lower Basin,433.4400773
1982,Misc,Reservoir Evaporation,Lower Basin,1285.487734
1982,Misc,Unassigned,Lower Basin,49.318
1982,Nevada,Agricultural,Lower Basin,0.065
1982,Nevada,Energy,Lower Basin,17.294
1982,Nevada,Fish and Wildlife and Recreation,Lower Basin,1.052
1982,Nevada,Municipal and Industrial,Lower Basin,83.915
1982,New Mexico,Agricultural,Upper Basin,228.2074438
1982,New Mexico,Energy,Upper Basin,41.58994067
1982,New Mexico,Fish and Wildlife and Recreation,Upper Basin,6.91582225
1982,New Mexico,Minerals,Upper Basin,3.9
1982,New Mexico,Municipal and Industrial,Upper Basin,91.82706576
1982,New Mexico,Reservoir Evaporation,Upper Basin,122.2068187
1982,Utah,Agricultural,Upper Basin,517.602333
1982,Utah,Energy,Upper Basin,19.96
1982,Utah,Minerals,Upper Basin,9.68
1982,Utah,Municipal and Industrial,Upper Basin,25.895
1982,Utah,Reservoir Evaporation,Upper Basin,222.0218229
1982,Wyoming,Agricultural,Upper Basin,228.023601
1982,Wyoming,Energy,Upper Basin,31.1
1982,Wyoming,Minerals,Upper Basin,13.87
1982,Wyoming,Municipal and Industrial,Upper Basin,15.501
1982,Wyoming,Reservoir Evaporation,Upper Basin,145.1951018
1983,Arizona,Agricultural,Lower Basin,1011.593
1983,Arizona,Agricultural,Upper Basin,8.923
1983,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,0
1983,Arizona,CAP M&I Recharge,Lower Basin,0
1983,Arizona,CAP Tribes,Lower Basin,0
1983,Arizona,Energy,Lower Basin,0.241
1983,Arizona,Energy,Upper Basin,20.21
1983,Arizona,Export,Upper Basin,0
1983,Arizona,Fish and Wildlife and Recreation,Lower Basin,28.446
1983,Arizona,Minerals,Lower Basin,0
1983,Arizona,Minerals,Upper Basin,0
1983,Arizona,Municipal and Industrial,Lower Basin,21.889
1983,Arizona,Municipal and Industrial,Upper Basin,6.97
1983,Arizona,Reservoir Evaporation,Upper Basin,5.1
1983,California,Agricultural,Lower Basin,3311.8768
1983,California,Fish and Wildlife and Recreation,Lower Basin,0.015
1983,California,Municipal and Industrial,Lower Basin,933.1532
1983,Colorado,Agricultural,Upper Basin,1562.39104
1983,Colorado,Energy,Upper Basin,8.576
1983,Colorado,Minerals,Upper Basin,8.45
1983,Colorado,Municipal and Industrial,Upper Basin,250.2018102
1983,Colorado,Reservoir Evaporation,Upper Basin,490.6072465
1983,Mexico,Unassigned,Lower Basin,1700
1983,Misc,,Lower Basin,179.157
1983,Misc,Fish and Wildlife and Recreation,Lower Basin,476.8780654
1983,Misc,Reservoir Evaporation,Lower Basin,1351.566703
1983,Misc,Unassigned,Lower Basin,74.34803846
1983,Nevada,Agricultural,Lower Basin,0.059
1983,Nevada,Energy,Lower Basin,14.676
1983,Nevada,Fish and Wildlife and Recreation,Lower Basin,1.126
1983,Nevada,Municipal and Industrial,Lower Basin,70.735
1983,New Mexico,Agricultural,Upper Basin,232.7456172
1983,New Mexico,Energy,Upper Basin,40.49121974
1983,New Mexico,Fish and Wildlife and Recreation,Upper Basin,6.877031877
1983,New Mexico,Minerals,Upper Basin,5.4
1983,New Mexico,Municipal and Industrial,Upper Basin,90.76305531
1983,New Mexico,Reservoir Evaporation,Upper Basin,132.4380051
1983,Utah,Agricultural,Upper Basin,492.906797
1983,Utah,Energy,Upper Basin,21.43
1983,Utah,Minerals,Upper Basin,9.36
1983,Utah,Municipal and Industrial,Upper Basin,10.735
1983,Utah,Reservoir Evaporation,Upper Basin,241.1414002
1983,Wyoming,Agricultural,Upper Basin,256.996552
1983,Wyoming,Energy,Upper Basin,26.91
1983,Wyoming,Minerals,Upper Basin,11.3
1983,Wyoming,Municipal and Industrial,Upper Basin,11.197
1983,Wyoming,Reservoir Evaporation,Upper Basin,153.0976562
1984,Arizona,Agricultural,Lower Basin,1086.645
1984,Arizona,Agricultural,Upper Basin,8.2
1984,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,0
1984,Arizona,CAP M&I Recharge,Lower Basin,0
1984,Arizona,CAP Tribes,Lower Basin,0
1984,Arizona,Energy,Lower Basin,0.06
1984,Arizona,Energy,Upper Basin,22.1
1984,Arizona,Export,Upper Basin,0
1984,Arizona,Fish and Wildlife and Recreation,Lower Basin,5.946
1984,Arizona,Minerals,Lower Basin,0
1984,Arizona,Minerals,Upper Basin,0
1984,Arizona,Municipal and Industrial,Lower Basin,23.465
1984,Arizona,Municipal and Industrial,Upper Basin,7.5
1984,Arizona,Reservoir Evaporation,Upper Basin,5.8
1984,California,Agricultural,Lower Basin,3412.4316
1984,California,Fish and Wildlife and Recreation,Lower Basin,0.015
1984,California,Municipal and Industrial,Lower Basin,1264.6564
1984,Colorado,Agricultural,Upper Basin,1495.730652
1984,Colorado,Energy,Upper Basin,11.242
1984,Colorado,Minerals,Upper Basin,5.01
1984,Colorado,Municipal and Industrial,Upper Basin,261.5041936
1984,Colorado,Reservoir Evaporation,Upper Basin,481.3268147
1984,Mexico,Unassigned,Lower Basin,1700
1984,Misc,,Lower Basin,125.615
1984,Misc,Fish and Wildlife and Recreation,Lower Basin,499.0471803
1984,Misc,Reservoir Evaporation,Lower Basin,1324.447719
1984,Misc,Unassigned,Lower Basin,74.34803846
1984,Nevada,Agricultural,Lower Basin,0.119
1984,Nevada,Energy,Lower Basin,14.198
1984,Nevada,Fish and Wildlife and Recreation,Lower Basin,1.025
1984,Nevada,Municipal and Industrial,Lower Basin,86.15
1984,New Mexico,Agricultural,Upper Basin,205.9766252
1984,New Mexico,Energy,Upper Basin,44.080207
1984,New Mexico,Fish and Wildlife and Recreation,Upper Basin,5.996094575
1984,New Mexico,Minerals,Upper Basin,4.2
1984,New Mexico,Municipal and Industrial,Upper Basin,79.9252833
1984,New Mexico,Reservoir Evaporation,Upper Basin,129.0745122
1984,Utah,Agricultural,Upper Basin,530.582105
1984,Utah,Energy,Upper Basin,21.94
1984,Utah,Minerals,Upper Basin,9.05
1984,Utah,Municipal and Industrial,Upper Basin,11.783
1984,Utah,Reservoir Evaporation,Upper Basin,237.6163865
1984,Wyoming,Agricultural,Upper Basin,228.905139
1984,Wyoming,Energy,Upper Basin,27.75
1984,Wyoming,Minerals,Upper Basin,8.7
1984,Wyoming,Municipal and Industrial,Upper Basin,8.912
1984,Wyoming,Reservoir Evaporation,Upper Basin,148.3921116
1985,Arizona,Agricultural,Lower Basin,1141.105
1985,Arizona,Agricultural,Upper Basin,8.2
1985,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,21.719
1985,Arizona,CAP M&I Recharge,Lower Basin,0
1985,Arizona,CAP Tribes,Lower Basin,0
1985,Arizona,Energy,Lower Basin,0.04
1985,Arizona,Energy,Upper Basin,25.301
1985,Arizona,Export,Upper Basin,0
1985,Arizona,Fish and Wildlife and Recreation,Lower Basin,6.819
1985,Arizona,Minerals,Lower Basin,0
1985,Arizona,Minerals,Upper Basin,0
1985,Arizona,Municipal and Industrial,Lower Basin,24.525
1985,Arizona,Municipal and Industrial,Upper Basin,7.17
1985,Arizona,Reservoir Evaporation,Upper Basin,5
1985,California,Agricultural,Lower Basin,3480.3494
1985,California,Fish and Wildlife and Recreation,Lower Basin,0.018
1985,California,Municipal and Industrial,Lower Basin,1298.3816
1985,Colorado,Agricultural,Upper Basin,1585.038871
1985,Colorado,Energy,Upper Basin,15.601
1985,Colorado,Minerals,Upper Basin,1.39
1985,Colorado,Municipal and Industrial,Upper Basin,295.0674012
1985,Colorado,Reservoir Evaporation,Upper Basin,475.1542712
1985,Mexico,Unassigned,Lower Basin,1700
1985,Misc,,Lower Basin,129.704
1985,Misc,Fish and Wildlife and Recreation,Lower Basin,517.259477
1985,Misc,Reservoir Evaporation,Lower Basin,1330.100766
1985,Misc,Unassigned,Lower Basin,74.34803846
1985,Nevada,Agricultural,Lower Basin,0.063
1985,Nevada,Energy,Lower Basin,6.255
1985,Nevada,Fish and Wildlife and Recreation,Lower Basin,0.945
1985,Nevada,Municipal and Industrial,Lower Basin,94.446
1985,New Mexico,Agricultural,Upper Basin,229.1947359
1985,New Mexico,Energy,Upper Basin,43.152718
1985,New Mexico,Fish and Wildlife and Recreation,Upper Basin,4.844152417
1985,New Mexico,Minerals,Upper Basin,5.6
1985,New Mexico,Municipal and Industrial,Upper Basin,65.84575121
1985,New Mexico,Reservoir Evaporation,Upper Basin,125.8541624
1985,Utah,Agricultural,Upper Basin,626.653995
1985,Utah,Energy,Upper Basin,26.666
1985,Utah,Minerals,Upper Basin,8.74
1985,Utah,Municipal and Industrial,Upper Basin,28.482
1985,Utah,Reservoir Evaporation,Upper Basin,239.3586434
1985,Wyoming,Agricultural,Upper Basin,249.473112
1985,Wyoming,Energy,Upper Basin,35.1266
1985,Wyoming,Minerals,Upper Basin,6.2
1985,Wyoming,Municipal and Industrial,Upper Basin,16.497
1985,Wyoming,Reservoir Evaporation,Upper Basin,144.8772243
1986,Arizona,Agricultural,Lower Basin,1239.52
1986,Arizona,Agricultural,Upper Basin,5.3389
1986,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,15.825
1986,Arizona,CAP M&I Recharge,Lower Basin,0
1986,Arizona,CAP Tribes,Lower Basin,0
1986,Arizona,Energy,Lower Basin,0.512
1986,Arizona,Energy,Upper Basin,18.701
1986,Arizona,Export,Upper Basin,0
1986,Arizona,Fish and Wildlife and Recreation,Lower Basin,45.209
1986,Arizona,Minerals,Lower Basin,0
1986,Arizona,Minerals,Upper Basin,0
1986,Arizona,Municipal and Industrial,Lower Basin,55.864
1986,Arizona,Municipal and Industrial,Upper Basin,6.789
1986,Arizona,Reservoir Evaporation,Upper Basin,6.3124
1986,California,Agricultural,Lower Basin,3475.5927
1986,California,Fish and Wildlife and Recreation,Lower Basin,0.019
1986,California,Municipal and Industrial,Lower Basin,1329.3383
1986,Colorado,Agricultural,Upper Basin,1401.602297
1986,Colorado,Energy,Upper Basin,14.584
1986,Colorado,Minerals,Upper Basin,4.923
1986,Colorado,Municipal and Industrial,Upper Basin,310.0382926
1986,Colorado,Reservoir Evaporation,Upper Basin,461.8447583
1986,Mexico,Unassigned,Lower Basin,1700
1986,Misc,,Lower Basin,129.704
1986,Misc,Fish and Wildlife and Recreation,Lower Basin,527.1912504
1986,Misc,Reservoir Evaporation,Lower Basin,1312.481406
1986,Misc,Unassigned,Lower Basin,74.34803846
1986,Nevada,Agricultural,Lower Basin,0
1986,Nevada,Energy,Lower Basin,13.262
1986,Nevada,Fish and Wildlife and Recreation,Lower Basin,0.919
1986,Nevada,Municipal and Industrial,Lower Basin,98.036
1986,New Mexico,Agricultural,Upper Basin,220.5633715
1986,New Mexico,Energy,Upper Basin,39.561821
1986,New Mexico,Fish and Wildlife and Recreation,Upper Basin,4.706618113
1986,New Mexico,Minerals,Upper Basin,1.7708
1986,New Mexico,Municipal and Industrial,Upper Basin,64.26027586
1986,New Mexico,Reservoir Evaporation,Upper Basin,126.2586509
1986,Utah,Agricultural,Upper Basin,592.9807806
1986,Utah,Energy,Upper Basin,24.6147
1986,Utah,Minerals,Upper Basin,6.412
1986,Utah,Municipal and Industrial,Upper Basin,35.045
1986,Utah,Reservoir Evaporation,Upper Basin,246.8549603
1986,Wyoming,Agricultural,Upper Basin,384.6375
1986,Wyoming,Energy,Upper Basin,29.359
1986,Wyoming,Minerals,Upper Basin,7.107
1986,Wyoming,Municipal and Industrial,Upper Basin,17.778
1986,Wyoming,Reservoir Evaporation,Upper Basin,136.1518274
1987,Arizona,Agricultural,Lower Basin,1461.766
1987,Arizona,Agricultural,Upper Basin,4.8771
1987,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,52.594
1987,Arizona,CAP M&I Recharge,Lower Basin,0
1987,Arizona,CAP Tribes,Lower Basin,18.809
1987,Arizona,Energy,Lower Basin,0.398
1987,Arizona,Energy,Upper Basin,20.13
1987,Arizona,Export,Upper Basin,0
1987,Arizona,Fish and Wildlife and Recreation,Lower Basin,45.009
1987,Arizona,Minerals,Lower Basin,0
1987,Arizona,Minerals,Upper Basin,0
1987,Arizona,Municipal and Industrial,Lower Basin,155.596
1987,Arizona,Municipal and Industrial,Upper Basin,6.663
1987,Arizona,Reservoir Evaporation,Upper Basin,6.418
1987,California,Agricultural,Lower Basin,3582.288
1987,California,Fish and Wildlife and Recreation,Lower Basin,0
1987,California,Municipal and Industrial,Lower Basin,1309.672
1987,Colorado,Agricultural,Upper Basin,1563.836701
1987,Colorado,Energy,Upper Basin,14.838
1987,Colorado,Minerals,Upper Basin,4.261
1987,Colorado,Municipal and Industrial,Upper Basin,224.2101094
1987,Colorado,Reservoir Evaporation,Upper Basin,471.5891778
1987,Mexico,Unassigned,Lower Basin,1700
1987,Misc,,Lower Basin,97.741
1987,Misc,Fish and Wildlife and Recreation,Lower Basin,536.3582282
